buffer_kb,pu_fanout,energy_j,latency_s
1,8,1.0133452854335312,0.18191544894943945
1,12,1.0133452854335312,0.18191544894943945
1,16,1.0133452806016532,0.17339576919039246
1,24,1.0133452806016532,0.17339576919039246
1,32,1.013345280564485,0.17333023319224594
2,8,1.0133452954983033,0.18191544894943945
2,12,1.0133452954983033,0.18191544894943945
2,16,1.01334529019506,0.17339576919039246
2,24,1.01334529019506,0.17339576919039246
2,32,1.0133452901542657,0.17333023319224594
4,8,1.0133453241337622,0.18191544894943945
4,12,1.0133453241337622,0.18191544894943945
4,16,1.0133453174894291,0.17339576919039246
4,24,1.0133453174894291,0.17339576919039246
4,32,1.013345317438319,0.17333023319224594
8,8,1.0133453518365376,0.18191544894943945
8,12,1.0133453518365376,0.18191544894943945
8,16,1.0133453438947952,0.17339576919039246
8,24,1.0133453438947952,0.17339576919039246
8,32,1.0133453438337048,0.17333023319224594
16,8,1.0133454201607812,0.18191544894943945
16,12,1.0133454201607812,0.18191544894943945
16,16,1.0133454090191971,0.17339576919039246
16,24,1.0133454090191971,0.17339576919039246
16,32,1.0133454089334928,0.17333023319224594
